            table_name            |        column_name         |        data_type         | character_maximum_length | is_nullable |                        column_default                        
 midjourneys                      | buttons                    | text                     |                          | YES         | 
 midjourneys                      | properties                 | text                     |                          | YES         | 
 models                           | id                         | bigint                   |                          | NO          | nextval('models_id_seq'::regclass)
 models                           | model_name                 | character varying        |                      128 | NO          | 
 models                           | description                | text                     |                          | YES         | 
 models                           | icon                       | character varying        |                      128 | YES         | 
 models                           | tags                       | character varying        |                      255 | YES         | 
 models                           | vendor_id                  | bigint                   |                          | YES         | 
 models                           | endpoints                  | text                     |                          | YES         | 
 models                           | status                     | bigint                   |                          | YES         | 1
 models                           | sync_official              | bigint                   |                          | YES         | 1
 models                           | created_time               | bigint                   |                          | YES         | 
 models                           | updated_time               | bigint                   |                          | YES         | 
 models                           | deleted_at                 | timestamp with time zone |                          | YES         | 
 models                           | name_rule                  | bigint                   |                          | YES         | 0
 options                          | key                        | text                     |                          | NO          | 
 options                          | value                      | text                     |                          | YES         | 
 passkey_credentials              | id                         | bigint                   |                          | NO          | nextval('passkey_credentials_id_seq'::regclass)
 passkey_credentials              | user_id                    | bigint                   |                          | NO          | 
 passkey_credentials              | credential_id              | character varying        |                      512 | NO          | 
 passkey_credentials              | public_key                 | text                     |                          | NO          | 
 passkey_credentials              | attestation_type           | character varying        |                      255 | YES         | 
 passkey_credentials              | aa_guid                    | character varying        |                      512 | YES         | 
 passkey_credentials              | sign_count                 | bigint                   |                          | YES         | 0
 passkey_credentials              | clone_warning              | boolean                  |                          | YES         | 
 passkey_credentials              | user_present               | boolean                  |                          | YES         | 
 passkey_credentials              | user_verified              | boolean                  |                          | YES         | 
 passkey_credentials              | backup_eligible            | boolean                  |                          | YES         | 
 passkey_credentials              | backup_state               | boolean                  |                          | YES         | 
 passkey_credentials              | transports                 | text                     |                          | YES         | 
 passkey_credentials              | attachment                 | character varying        |                       32 | YES         | 
 passkey_credentials              | last_used_at               | timestamp with time zone |                          | YES         | 
 passkey_credentials              | created_at                 | timestamp with time zone |                          | YES         | 
 passkey_credentials              | updated_at                 | timestamp with time zone |                          | YES         | 
 passkey_credentials              | deleted_at                 | timestamp with time zone |                          | YES         | 
 prefill_groups                   | id                         | bigint                   |                          | NO          | nextval('prefill_groups_id_seq'::regclass)
 prefill_groups                   | name                       | character varying        |                       64 | NO          | 
 prefill_groups                   | type                       | character varying        |                       32 | NO          | 
 prefill_groups                   | items                      | json                     |                          | YES         | 
 prefill_groups                   | description                | character varying        |                      255 | YES         | 
 prefill_groups                   | created_time               | bigint                   |                          | YES         | 
 prefill_groups                   | updated_time               | bigint                   |                          | YES         | 
 prefill_groups                   | deleted_at                 | timestamp with time zone |                          | YES         | 
 quota_data                       | id                         | bigint                   |                          | NO          | nextval('quota_data_id_seq'::regclass)
 quota_data                       | user_id                    | bigint                   |                          | YES         | 
 quota_data                       | username                   | character varying        |                       64 | YES         | ''::character varying
 quota_data                       | model_name                 | character varying        |                       64 | YES         | ''::character varying
 quota_data                       | created_at                 | bigint                   |                          | YES         | 
 quota_data                       | token_used                 | bigint                   |                          | YES         | 0
 quota_data                       | count                      | bigint                   |                          | YES         | 0
 quota_data                       | quota                      | bigint                   |                          | YES         | 0
 redemptions                      | id                         | bigint                   |                          | NO          | nextval('redemptions_id_seq'::regclass)
 redemptions                      | user_id                    | bigint                   |                          | YES         | 
 redemptions                      | key                        | character                |                       32 | YES         | 
 redemptions                      | status                     | bigint                   |                          | YES         | 1
 redemptions                      | name                       | text                     |                          | YES         | 
 redemptions                      | quota                      | bigint                   |                          | YES         | 100
 redemptions                      | created_time               | bigint                   |                          | YES         | 
 redemptions                      | redeemed_time              | bigint                   |                          | YES         | 
